#Software	Original_ID_Pattern	Target_Class	Target_Superfamily	Notes
# ==============================================================================
# RepLibBuilder TE Mapping Rules
# ==============================================================================
# 1. SOFTWARE-SPECIFIC RULES (Highest Priority)
# ==============================================================================
# EDTA: DT* encoding -> Dfam canonical superfamilies
Repbase	(?i)^ERV3.*	LTR	ERVL	Repbase_ERV3_to_ERVL
Repbase	(?i)^ERV4.*	LTR	ERV4	Repbase_ERV4
Repbase	(?i)^ERVK.*	LTR	ERVK	Repbase_ERVK
Repbase	(?i)^ERVL.*	LTR	ERVL	Repbase_ERVL
Repbase	(?i)^ERV[5-9].*	LTR	ERV	Repbase_ERV_other_numbered
Repbase	(?i)^Endogenous Retrovirus.*	LTR	ERV	Repbase_ERV_full
Repbase	(?i)^endogenous retrovirus.*	LTR	ERV	Repbase_ERV_lower
Repbase	(?i)^Lentivirus.*	LTR	ERV-Lenti	Repbase_Lenti_to_ERV_Lenti
Repbase	(?i)^Lokiretrovirus.*	LTR	ERV	Repbase_Loki_to_ERV
Repbase	(?i)^Loki.*	LTR	Gypsy	Repbase_Loki_family_to_Gypsy
Repbase	(?i)^Caulimoviridae.*	LTR	Caulimovirus	Repbase_Caulimo
Repbase	(?i)^MaLR.*	LTR	ERVL-MaLR	Repbase_MaLR_to_ERVL_MaLR
Repbase	(?i)^Hero.*	LTR	Gypsy	Repbase_Hero_to_Gypsy
# v5.3.3: Disambiguate Neptune-LTR (LTR/Gypsy) vs Neptune (PLE/Neptune)
Repbase	(?i)^Neptune-LTR.*	LTR	Gypsy	Repbase_Neptune_LTR_to_Gypsy
Repbase	(?i)^Neptune.*	PLE	Neptune	Repbase_Neptune_default_to_PLE_Neptune
Repbase	(?i)^Rehavkus.*	LTR	Gypsy	Repbase_Rehavkus_to_Gypsy
Repbase	(?i)^VADER.*	LTR	Unknown	Repbase_VADER
Repbase	(?i)^Cassandra.*	LTR	Cassandra	Repbase_Cassandra
Repbase	(?i)^LTR Retrotransposon.*	LTR	Unknown	Repbase_LTR_generic
Repbase	(?i)^LTR retrotransposon.*	LTR	Unknown	Repbase_LTR_generic_lower
Repbase	(?i)^LTR-retrotransposon.*	LTR	Unknown	Repbase_LTR_generic_dash
Repbase	(?i)^LTR$	LTR	Unknown	Repbase_LTR_bare
Repbase	(?i)^Long terminal repeat.*	LTR	Unknown	Repbase_LongTermRepeat

# ----- LINE / Non-LTR Retrotransposons -----
# L1 group: canonical subtypes preserved
Repbase	(?i)^L1.*	LINE	L1	Repbase_L1_main
Repbase	(?i)^LINE1.*	LINE	L1	Repbase_LINE1
Repbase	(?i)^HAL1.*	LINE	L1	Repbase_HAL1_to_L1
Repbase	(?i)^Tx1.*	LINE	L1-Tx1	Repbase_Tx1_to_L1_Tx1
# L2 -> canonical LINE/L2
Repbase	(?i)^L2[A-Z]?$	LINE	L2	Repbase_L2_main
Repbase	(?i)^L2.*	LINE	L2	Repbase_L2_variant
# CR1 group
Repbase	(?i)^CR1.*	LINE	CR1	Repbase_CR1
# Jockey / I / Loa - canonical mappings
Repbase	(?i)^Jockey.*	LINE	I-Jockey	Repbase_Jockey_to_I_Jockey
# v5.3.5: rare Repbase 'I-Jockey-1_DR' / 'I-Jockey_OS' style names
Repbase	(?i)^I-Jockey.*	LINE	I-Jockey	Repbase_I_Jockey_dash_prefix
Repbase	(?i)^Loa.*	LINE	R1-LOA	Repbase_Loa_to_R1_LOA
Repbase	(?i)^R1.*	LINE	R1	Repbase_R1
# R2 group
Repbase	(?i)^R2.*	LINE	R2	Repbase_R2
# R4 -> canonical Dong-R4
Repbase	(?i)^R4.*	LINE	Dong-R4	Repbase_R4_to_Dong_R4
# Rex -> canonical Rex-Babar
Repbase	(?i)^Rex[0-9].*	LINE	Rex-Babar	Repbase_Rex_to_Rex_Babar
# RTE group - canonical preserves RTE-RTE / RTE-X / RTE-BovB
Repbase	(?i)^RTEX.*	LINE	RTE-X	Repbase_RTEX
Repbase	(?i)^RTETP.*	LINE	RTE-BovB	Repbase_RTETP
Repbase	(?i)^RTE.*	LINE	RTE	Repbase_RTE_to_parent_RTE_clade
# Tad1 - canonical
Repbase	(?i)^Tad1.*	LINE	Tad1	Repbase_Tad1
# CRE group
Repbase	(?i)^CRE.*	LINE	CRE	Repbase_CRE
# Proto - canonical Proto1/Proto2 preserved if numbered
Repbase	(?i)^Proto1.*	LINE	Proto1	Repbase_Proto1
Repbase	(?i)^Proto2.*	LINE	Proto2	Repbase_Proto2
# I element (strict match)
Repbase	(?-i:^I$)	LINE	I	Repbase_I_element_strict
Repbase	(?-i:^I_).*	LINE	I	Repbase_I_element_prefix
# Repbase long-tail LINE names with no canonical subtype -> bare Class
Repbase	(?i)^Crack.*	LINE	Unknown	Repbase_Crack_to_bare_LINE
Repbase	(?i)^Vingi.*	LINE	Unknown	Repbase_Vingi_to_bare_LINE
Repbase	(?i)^Nimb.*	LINE	Unknown	Repbase_Nimb_to_bare_LINE
Repbase	(?i)^NeSL.*	LINE	R2-NeSL	Repbase_NeSL_to_R2_NeSL
Repbase	(?i)^Outcast.*	LINE	Unknown	Repbase_Outcast_to_bare_LINE
Repbase	(?i)^Ingi.*	LINE	Unknown	Repbase_Ingi_to_bare_LINE
